Date;Profile;Message;Number of Likes;Number of comments;Reactions, Comments & Shares;Post interaction rate;Reach per post;Interactions per impression/view;Impressions/views per post;Engagement;Story reach;Story views;Story replies;Story shares;Number of new followers based on the story;Profile visits based on the story;Impressions/views of posts;Number of Carousels/Albums;Number of Image Posts;Number of Reels/Shorts;Number of Stories;Profile-ID;Post-ID;Link;Image Link;
6/9/26, 4:28 PM;"Prima Armada Raya";"Mintanya apa malah dikasih apa, tapi fokusnya tetep ke car maintainance regular yang selalu rutin!
";2.0;0.0;2.0;0.022727272727272728;;0.007194244604316547;278.0;;;;;;;;278.0;;;1.0;;UCYmE8xn_kRbu3rX9bzACmQQ;45JHm6HtQQQ;http://www.youtube.com/watch?v=45JHm6HtQQQ;https://i.ytimg.com/vi/45JHm6HtQQQ/mqdefault.jpg;
6/8/26, 1:00 PM;"Prima Armada Raya";"Let’s meet Our Team! #MelayaniSepenuhHatiDenganPRIMA
";0.0;0.0;0.0;0.0;;0.0;75.0;;;;;;;;75.0;;;1.0;;UCYmE8xn_kRbu3rX9bzACmQQ;Pi1oSH6QUIs;http://www.youtube.com/watch?v=Pi1oSH6QUIs;https://i.ytimg.com/vi/Pi1oSH6QUIs/mqdefault.jpg;
6/11/26, 8:52 AM;"Prima Armada Raya";"Dirgahayu Prima Armada Raya
12 tahun bukan sekadar perjalanan, tapi proses untuk terus belajar melayani lebih baik.

Dari satu titik awal, hingga terus bergerak melintasi waktu, semua dijalani dengan satu komitmen: Melayani sepenuh hati dengan Prima.

Terima kasih atas setiap perjalanan, kepercayaan, dan kebersamaan yang telah dilewati.

Dirgahayu 12 Tahun Prima Armada Raya

#MelayaniSepenuhHatiDenganPRIMA #AlwaysPRIMA #SelaluPrima #PARMemberOfPertamina";0.0;0.0;0.0;0.0;;0.0;38.0;;;;;;;;38.0;;;;;UCYmE8xn_kRbu3rX9bzACmQQ;zgiZcvRLy9Q;http://www.youtube.com/watch?v=zgiZcvRLy9Q;https://i.ytimg.com/vi/zgiZcvRLy9Q/mqdefault.jpg;
6/12/26, 3:51 PM;"Prima Armada Raya";"Bahaya Microsleep
Sedetik yang Mematikan: AWAS MICROSLEEP ⚠️

Kelihatannya sepele, tapi kehilangan fokus beberapa detik di jalan bisa berdampak besar, terutama saat berkendara jarak jauh. Kalau badan sudah mulai lelah, respons melambat, dan mata terasa berat, itu tanda untuk berhenti sejenak, bukan dipaksa lanjut.

Istirahat singkat jauh lebih aman daripada memaksakan perjalanan sampai batas.

Utamakan istirahat. Utamakan keselamatan

#MelayaniSepenuhHatiDenganPRIMA #AlwaysPRIMA #SelaluPrima #PARMemberOfPertamina";0.0;0.0;0.0;0.0;;0.0;1.0;;;;;;;;1.0;;;1.0;;UCYmE8xn_kRbu3rX9bzACmQQ;PnTIUa03X-Y;http://www.youtube.com/watch?v=PnTIUa03X-Y;https://i.ytimg.com/vi/PnTIUa03X-Y/mqdefault.jpg;
6/28/26, 8:00 AM;"Prima Armada Raya";"Siap Rekomendasiin PAR ke Circle Kamu!
“Boleh aku rekomendasiin ke partner bisnisku?”

Kalau sudah dipercaya, rekomendasi jadi hal yang paling natural.

Dengan layanan yang andal dan tim yang profesional, PAR siap jadi pilihan untuk kebutuhan transportasi bisnis #SahabatPRIMA

#MelayaniSepenuhHatiDenganPRIMA #AlwaysPRIMA #SelaluPrima #PARMemberOfPertamina";0.0;0.0;0.0;0.0;;0.0;276.0;;;;;;;;276.0;;;1.0;;UCYmE8xn_kRbu3rX9bzACmQQ;OBjLvqmp6Uk;http://www.youtube.com/watch?v=OBjLvqmp6Uk;https://i.ytimg.com/vi/OBjLvqmp6Uk/mqdefault.jpg;
-;"null";"Sum";2.0;0.0;2.0;0.022727272727272728;0.0;0.007194244604316547;668.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;668.0;0.0;0.0;4.0;0.0;null;SUMME;null;null;
