"Reporting starts","Reporting ends","Ad name",Age,Gender,"Ad delivery",Results,"Result indicator","Cost per results","Ad set budget","Ad set budget type","Amount spent (IDR)",Impressions,Reach,Ends,"Attribution setting",Bid,"Bid type","Last significant edit","Quality ranking","Engagement rate ranking","Conversion rate ranking","Ad set name",Reaction/Reach,"Post engagements","Link clicks","CTR (link click-through rate)",Frequency,"Instagram follows","Page engagement","Results (initial)","Results (initial) indicator"
2026-07-01,2026-07-31,"Momen Proper",35-44,female,not_delivering,1,actions:post_interaction_gross,66,30000,Daily,66,1,1,Ongoing,"7-day click or 1-day view",60,ABSOLUTE_OCPM,2026-06-25T10:29:26+0700,-,-,-,"Micro Targeting A+",1,1,,,1,0,1,,
2026-07-01,2026-07-31,"Momen Proper",45-54,male,not_delivering,1,actions:post_interaction_gross,60,30000,Daily,60,1,1,Ongoing,"7-day click or 1-day view",60,ABSOLUTE_OCPM,2026-06-25T10:29:26+0700,-,-,-,"Micro Targeting A+",1,1,,,1,0,1,,
2026-07-01,2026-07-31,"Tim Kopi atau Teh",18-24,female,not_delivering,,,,30000,Daily,39,2,2,Ongoing,"7-day click or 1-day view",60,ABSOLUTE_OCPM,2026-06-25T10:29:26+0700,-,-,-,"Micro Targeting A+",0,,,,1,0,,,
2026-07-01,2026-07-31,"Tim Kopi atau Teh",18-24,male,not_delivering,1,actions:post_interaction_gross,35,30000,Daily,35,1,1,Ongoing,"7-day click or 1-day view",60,ABSOLUTE_OCPM,2026-06-25T10:29:26+0700,-,-,-,"Micro Targeting A+",1,1,,,1,0,1,,
2026-07-01,2026-07-31,"Tim Kopi atau Teh",25-34,female,not_delivering,2,actions:post_interaction_gross,81.5,30000,Daily,163,4,4,Ongoing,"7-day click or 1-day view",60,ABSOLUTE_OCPM,2026-06-25T10:29:26+0700,-,-,-,"Micro Targeting A+",0.5,2,,,1,0,2,,
2026-07-01,2026-07-31,"Tim Kopi atau Teh",25-34,male,not_delivering,2,actions:post_interaction_gross,96,30000,Daily,192,5,4,Ongoing,"7-day click or 1-day view",60,ABSOLUTE_OCPM,2026-06-25T10:29:26+0700,-,-,-,"Micro Targeting A+",0.5,2,,,1.25,0,2,,
2026-07-01,2026-07-31,"Tim Kopi atau Teh",35-44,male,not_delivering,1,actions:post_interaction_gross,88,30000,Daily,88,2,2,Ongoing,"7-day click or 1-day view",60,ABSOLUTE_OCPM,2026-06-25T10:29:26+0700,-,-,-,"Micro Targeting A+",0.5,1,,,1,0,1,,
2026-07-01,2026-07-31,"Tim Kopi atau Teh",45-54,female,not_delivering,2,actions:post_interaction_gross,16.5,30000,Daily,33,1,1,Ongoing,"7-day click or 1-day view",60,ABSOLUTE_OCPM,2026-06-25T10:29:26+0700,-,-,-,"Micro Targeting A+",1,2,,,1,0,2,,
2026-07-01,2026-07-31,"Tim Kopi atau Teh",65+,female,not_delivering,,,,30000,Daily,32,1,1,Ongoing,"7-day click or 1-day view",60,ABSOLUTE_OCPM,2026-06-25T10:29:26+0700,-,-,-,"Micro Targeting A+",0,,,,1,0,,,
2026-07-01,2026-07-31,"Dapet Kerjaan di Luar Jobdesk",18-24,female,inactive,4,actions:post_interaction_gross,677.5,30000,Daily,2710,538,524,Ongoing,"7-day click or 1-day view",60,ABSOLUTE_OCPM,2026-06-25T10:29:26+0700,-,-,-,"Micro Targeting A+",0.00763359,177,,,1.026718,0,177,,
