Profile;Social network;Follower;Number of posts;Engagement;Number of Likes;Number of comments;Impressions/views of posts;Summed up reach of posts;Follower Growth (in %);New Follower;Unfollows;Follower Growth (absolute);Number of Shares/Reposts/Quotes;Profile-ID;Link;Image Link;
"TRAC Rental";TIKTOK;34100.0;8.0;5.700146627565983E-4;276.0;12.0;6756.0;;0.0;;;0.0;23.0;6978402907658273793;https://app.fanpagekarma.com/discovery/TIKTOK/6978402907658273793;https://storage-download.googleapis.com/networkimage/tt/6978402907658273793/avatar_6978402907658273793.jpg;
"TRAC-Astra Rent a Car";FACEBOOK;27659.0;7.0;1.0367312824441885E-4;42.0;0.0;;;-0.005679979868425783;;;-158.0;3.0;375357919323653;https://app.fanpagekarma.com/discovery/FACEBOOK/375357919323653;https://scontent-ord5-1.xx.fbcdn.net/v/t39.30808-1/358661198_607009751566765_8665041004019917360_n.png?stp=dst-png_s200x200&_nc_cat=106&ccb=1-7&_nc_sid=f907e8&_nc_ohc=yN0Akyv_d1UQ7kNvwGuhL7T&_nc_oc=AdpdYUQoVQ6vj3z09-Na20mEFXSfrlj2rIE-d4FfDoR2w9CJSEVW1Dw_A3CHWZxmRd8&_nc_zt=24&_nc_ht=scontent-ord5-1.xx&edm=AJdBtusEAAAA&_nc_gid=UvsLT357Kov4zWv2je8Arw&_nc_tpa=Q5bMBQHMCFy_0hfmK0MO7hVVPWruZ_QHFlPCMvP5oA0W3YAv-9L64GICJO7LRlSBeXHD1zPclSf6G2-R&oh=00_AQDmYeyjo4z1_ykw6o0ijNKinLPMm2N6x_T_EsjB5GdBzA&oe=6A5E18C4;
"MPMRent";TIKTOK;1048.0;3.0;0.0031682554639684557;52.0;0.0;2303.0;;0.0038314176245210726;;;4.0;1.0;7074774441296790529;https://app.fanpagekarma.com/discovery/TIKTOK/7074774441296790529;https://storage-download.googleapis.com/networkimage/tt/7074774441296790529/avatar_7074774441296790529.jpg;
"MPM Rent";FACEBOOK;2597.0;0.0;0.0;0.0;0.0;;;-3.8491147036181676E-4;;;-1.0;0.0;148287218633589;https://app.fanpagekarma.com/discovery/FACEBOOK/148287218633589;https://scontent-ord5-1.xx.fbcdn.net/v/t39.30808-1/303735085_487147876753527_1262491225490570086_n.png?_nc_cat=111&ccb=1-7&_nc_sid=f907e8&_nc_ohc=s1Ph9r4QJ5AQ7kNvwFB6q5a&_nc_oc=AdpwIG7MN7fSpyjub0ilOpH6I15DW8HmkCPNnQQ7uWeCOmZ560t4xni2k_ArdUM9xS8&_nc_zt=24&_nc_ht=scontent-ord5-1.xx&edm=AJdBtusEAAAA&_nc_gid=Q43Alfir44pOYTUHfM3fjA&_nc_tpa=Q5bMBQHB3vYebtzgaShW6ccjeEsJSvPs8A-kfLWYtt-6MolAUeX2bURykQOdh3oabz3_gkIwLd6t23JI&oh=00_AQBUzxx9fAwhNkYoJ4RBGcg2NChZeHTB_Y-a9PnuCw-0xQ&oe=6A5E0CBC;
"MPM Group";YOUTUBE;1480.0;0.0;;0.0;0.0;0.0;;0.0;;;0.0;;UCUjLGDZwQ9TqCf0b3qq-4wA;https://app.fanpagekarma.com/discovery/YOUTUBE/UCUjLGDZwQ9TqCf0b3qq-4wA;https://yt3.ggpht.com/ytc/AIdro_lg01AUBWC71KUSIqGwkV7HQ_4I_JDfjsPPasGMz6S_054=s240-c-k-c0x00ffffff-no-rj;
"MPM RENT";INSTAGRAM;12638.0;8.0;0.0013950894384994934;262.0;6.0;;;7.126454984559348E-4;;;9.0;;5355318560;https://app.fanpagekarma.com/discovery/INSTAGRAM/5355318560;https://scontent-ord5-3.xx.fbcdn.net/v/t51.2885-15/194405033_172820591515681_2239427722474075790_n.jpg?_nc_cat=110&ccb=1-7&_nc_sid=7d201b&_nc_ohc=L9WQGlNCW9YQ7kNvwE7yuN8&_nc_oc=AdooRZ7IX89Faf8hs-lrvmBH5zPeA6wiZpMSOlH2pHbSfp83u14Z3r-GgkL9IEoIT2E&_nc_zt=23&_nc_ht=scontent-ord5-3.xx&edm=AL-3X8kEAAAA&oh=00_AQBboRlpmY_7CniplZTT7uhkJd0UXtuXdSMcraIKb1Iu6A&oe=6A5E0397;
"TRAC Rental Mobil dan Bus";YOUTUBE;2240.0;5.0;;75.0;3.0;11194.0;;0.0;;;0.0;;UC-9jLt-k0R30YzImXxnn6PQ;https://app.fanpagekarma.com/discovery/YOUTUBE/UC-9jLt-k0R30YzImXxnn6PQ;https://yt3.ggpht.com/mHxfs-CoFxfr2AO-jqMr_LGxMCoOaAhPcTubpNoJAR25W7tg0niLxYovMH4qdgwKWg9VKMi7=s240-c-k-c0x00ffffff-no-rj;
"TRAC Rental Mobil dan Bus";INSTAGRAM;81382.0;7.0;4.7613858646600307E-4;567.0;20.0;;;0.004964188688565078;;;402.0;;2114028357;https://app.fanpagekarma.com/discovery/INSTAGRAM/2114028357;https://scontent-ord5-1.xx.fbcdn.net/v/t51.75761-15/514106053_18491535256068358_5753801692512198793_n.jpg?_nc_cat=111&ccb=1-7&_nc_sid=7d201b&_nc_eui2=AeGLAfxBYa1k9AFzsKmLG4cgFds8EooKqdIV2zwSigqp0j6b7ywCDkW6vnzz6xbzgcuQTw6Dstb2ugywRVAmuV1t&_nc_ohc=QYISjjqpV1QQ7kNvwGrGK0h&_nc_oc=Ado41uUnXYuV8yuQhB8t1-GlIHMkdtnUra3IAbp3h4zl6XQy_NH4wtuKsWtk_r2tqQ0&_nc_zt=23&_nc_ht=scontent-ord5-1.xx&edm=AL-3X8kEAAAA&_nc_gid=6gNpUK_aZzqFW9pdmNNd4w&oh=00_AQBiTKXCejzj4aNmW8zrruSlfce3k9nLhniqSevpYFlJvg&oe=6A5E3234;
"pratamamitra.id";INSTAGRAM;13574.0;4.0;2.528764024532646E-4;54.0;1.0;;;-0.0033773861967694566;;;-46.0;;9277461910;https://app.fanpagekarma.com/discovery/INSTAGRAM/9277461910;https://scontent-ord5-1.xx.fbcdn.net/v/t51.82787-15/713423830_18231826294309911_4742242293907229492_n.jpg?_nc_cat=108&ccb=1-7&_nc_sid=7d201b&_nc_ohc=wba_CINZ154Q7kNvwG9JAoA&_nc_oc=AdrOTTOAyij3NJMBec1SJaKArZO3JjMn--yEt6dvuew4c9NRJB3rEIzGbbg2IXWfpYM&_nc_zt=23&_nc_ht=scontent-ord5-1.xx&edm=AL-3X8kEAAAA&_nc_gid=JgCKQW74vo9qKk8HYERb2g&oh=00_AQDOcB8VMFXooZrPuWr3sXJWEmqAi6qhtRA9eikf3BM2LQ&oe=6A5E1C62;
