Profile;Social network;Follower;Number of posts;Engagement;Number of Likes;Number of comments;Impressions/views of posts;Summed up reach of posts;Follower Growth (in %);New Follower;Unfollows;Follower Growth (absolute);Number of Shares/Reposts/Quotes;Profile-ID;Link;Image Link;
"Prima Armada Raya";FACEBOOK;2752.0;14.0;4.8535258301400387E-4;30.0;3.0;1424.0;1007.0;-0.01679171132547338;12.0;37.0;-47.0;0.0;211065008758674;https://app.fanpagekarma.com/discovery/FACEBOOK/211065008758674;https://scontent-ord5-1.xx.fbcdn.net/v/t39.30808-1/420444029_10232138641877374_6029619758254727285_n.jpg?stp=cp0_dst-jpg_s50x50_tt6&_nc_cat=104&ccb=1-7&_nc_sid=f907e8&_nc_eui2=AeE6axAH3rWlnANhxy-SS8X77sv9hlxTOkXuy_2GXFM6RfOcFwAKoZ7SXOVTI1m8I9m22ASg-qX5jyBUxzJcWj4o&_nc_ohc=U7vERK5cmz4Q7kNvwHV7Osz&_nc_oc=AdoJhm5vs4g47ReXu92F-ZH4l4bn9Yz8VQffWiJtEjwD5Dd21StMu3638Qgs8L49uME&_nc_zt=24&_nc_ht=scontent-ord5-1.xx&edm=AGaHXAAEAAAA&_nc_gid=qbgMIHw6rQ0LtVDPuPNHhA&_nc_tpa=Q5bMBQGvaymTE2lkpbMEXyb-_RGdH-51S1CspN-gPVMVS-xKoiTz3rxBZscb4Nz9giHG1UZcmN4fn2c-&oh=00_AQEwgx_-KZYKpwAA7CMz5tkgs-NUq18fTNRVcZAukjxHyw&oe=6A75F718;
"Prima Armada Raya";YOUTUBE;92.0;3.0;;1.0;0.0;352.0;;0.022222222222222223;;;2.0;;UCYmE8xn_kRbu3rX9bzACmQQ;https://app.fanpagekarma.com/discovery/YOUTUBE/UCYmE8xn_kRbu3rX9bzACmQQ;https://yt3.ggpht.com/eMQ_aXoK9AkXMnRLOLIf5T52AyyS7dKNKcEsfhCx8-h5Rj-t4nZ8Ta20f8H2anpDXVRywOsmbQ=s240-c-k-c0x00ffffff-no-rj;
"PT Prima Armada Raya (PAR)";LINKEDIN;2691.0;3.0;5.057281225680754E-4;41.0;1.0;2727.0;1441.0;0.013559322033898305;38.0;;36.0;2.0;71324416;https://app.fanpagekarma.com/discovery/LINKEDIN/71324416;https://media.licdn.com/dms/image/v2/C560BAQEyDMJ7idkADQ/company-logo_400_400/company-logo_400_400/0/1641608345193/ptpar_logo?e=1787184000&v=beta&t=8x4HdZfZqKih9gCQlh6OCn-eHBL6xEz6SnMdqMuLdso;
"par.co.id";TIKTOK;25833.0;3.0;1.6279858789784002E-4;123.0;1.0;69864.0;63373.0;0.0033791656956420413;;;87.0;6.0;7320535411884147718;https://app.fanpagekarma.com/discovery/TIKTOK/7320535411884147718;https://storage-download.googleapis.com/networkimage/tt/7320535411884147718/avatar_7320535411884147718.jpg;
"PT Prima Armada Raya";INSTAGRAM;11462.0;13.0;0.004809342996724002;1631.0;29.0;502567.0;290721.0;0.009512066232164875;257.0;153.0;108.0;19.0;9601763952;https://app.fanpagekarma.com/discovery/INSTAGRAM/9601763952;https://scontent-ord5-1.xx.fbcdn.net/v/t51.2885-15/267098054_1354226301714120_8446300292938622154_n.jpg?_nc_cat=107&ccb=1-7&_nc_sid=7d201b&_nc_eui2=AeHOEkENkhdUqegIcwB6OIOIEPqc_E4VUq4Q-pz8ThVSrrjDwW3mHVjBCIuOCGEHCOQbUxQq9vvi_-11KNRPMy3k&_nc_ohc=9p_j4gkANC4Q7kNvwGPwqe0&_nc_oc=AdqoxeWn7BbRAXy7dApRTe_atvdwhCaA9rfRKOv3wmlIx69qRpaDTUTYIMaDfD9XwtU&_nc_zt=23&_nc_ht=scontent-ord5-1.xx&edm=AL-3X8kEAAAA&oh=00_AQHRU-tneBEjMNULNR2NI8KxHW6hjGmsdQWwUgZx8FMzbA&oe=6A75F70B;
