Profile;Social network;Sentiment of posts;Profile-ID;Post-ID;Link;Image Link;
"negative";null;4.0;NEGATIVE;null;null;
"neutral";null;4.0;NEUTRAL;null;null;
"positive";null;7.0;POSITIVE;null;null;
