Date;Profile;Message;Number of Likes;Number of comments;Reactions, Comments & Shares;Post interaction rate;Reach per post;Interactions per impression/view;Impressions/views per post;Engagement;Story reach;Story views;Story replies;Story shares;Number of new followers based on the story;Profile visits based on the story;Impressions/views of posts;Number of Carousels/Albums;Number of Image Posts;Number of Reels/Shorts;Number of Stories;Profile-ID;Post-ID;Link;Image Link;
5/15/26, 8:59 AM;"PT Prima Armada Raya";"-";0.0;0.0;0.0;0.0;;0.0;388.0;0.0;330.0;388.0;0.0;0.0;0.0;6.0;388.0;;1.0;;1.0;9601763952;18596240323025468_9601763952;https://www.instagram.com/stories/par.co.id/3897266300101376469;https://storage-download.googleapis.com/networkimage/i/9601763952/story_thumbnail_18596240323025468_9601763952.jpg;
5/14/26, 6:21 AM;"PT Prima Armada Raya";"-";0.0;0.0;0.0;0.0;;0.0;404.0;0.0;338.0;404.0;0.0;0.0;0.0;5.0;404.0;;1.0;;1.0;9601763952;18092548319070459_9601763952;https://www.instagram.com/stories/par.co.id/3896461996820719394;https://storage-download.googleapis.com/networkimage/i/9601763952/story_thumbnail_18092548319070459_9601763952.jpg;
5/13/26, 10:12 AM;"PT Prima Armada Raya";"(at)gas_negara @esa_wp @anjasjk @latanza_akbar";0.0;0.0;0.0;0.0;;0.0;1289.0;0.0;893.0;1289.0;1.0;3.0;0.0;7.0;1289.0;;1.0;;1.0;9601763952;18077036084229642_9601763952;https://www.instagram.com/stories/par.co.id/3895853625010219646;https://storage-download.googleapis.com/networkimage/i/9601763952/story_thumbnail_18077036084229642_9601763952.jpg;
5/12/26, 11:28 AM;"PT Prima Armada Raya";"-";0.0;0.0;0.0;0.0;;0.0;559.0;0.0;448.0;559.0;1.0;0.0;0.0;12.0;559.0;;1.0;;1.0;9601763952;18004515440874083_9601763952;https://www.instagram.com/stories/par.co.id/3895166954170184720;https://storage-download.googleapis.com/networkimage/i/9601763952/story_thumbnail_18004515440874083_9601763952.jpg;
5/11/26, 1:39 PM;"PT Prima Armada Raya";"(at)latanza_akbar @anjasjk @esa_wp";0.0;0.0;0.0;0.0;;0.0;780.0;0.0;589.0;780.0;0.0;2.0;0.0;7.0;780.0;;;1.0;1.0;9601763952;18107022539510577_9601763952;https://www.instagram.com/stories/par.co.id/3894506802637271022;https://storage-download.googleapis.com/networkimage/i/9601763952/story_thumbnail_18107022539510577_9601763952.jpg;
5/11/26, 9:05 AM;"PT Prima Armada Raya";"-";0.0;0.0;0.0;0.0;;0.0;969.0;0.0;819.0;969.0;0.0;3.0;0.0;9.0;969.0;;1.0;;1.0;9601763952;17969382815901684_9601763952;https://www.instagram.com/stories/par.co.id/3894370372313276822;https://storage-download.googleapis.com/networkimage/i/9601763952/story_thumbnail_17969382815901684_9601763952.jpg;
5/8/26, 9:53 AM;"PT Prima Armada Raya";"-";0.0;0.0;0.0;0.0;;0.0;463.0;0.0;381.0;463.0;0.0;0.0;0.0;9.0;463.0;;1.0;;1.0;9601763952;17924376861337590_9601763952;https://www.instagram.com/stories/par.co.id/3892219836176598951;https://storage-download.googleapis.com/networkimage/i/9601763952/story_thumbnail_17924376861337590_9601763952.jpg;
5/7/26, 9:55 AM;"PT Prima Armada Raya";"(at)esa_wp @latanza_akbar @anjasjk";0.0;0.0;0.0;0.0;;0.0;4217.0;0.0;2843.0;4217.0;0.0;6.0;0.0;7.0;4217.0;;1.0;;1.0;9601763952;18002070464748310_9601763952;https://www.instagram.com/stories/par.co.id/3891496071532730648;https://storage-download.googleapis.com/networkimage/i/9601763952/story_thumbnail_18002070464748310_9601763952.jpg;
5/4/26, 9:18 AM;"PT Prima Armada Raya";"-";0.0;0.0;0.0;0.0;;0.0;743.0;0.0;631.0;743.0;0.0;1.0;0.0;7.0;743.0;;1.0;;1.0;9601763952;18005860229873716_9601763952;https://www.instagram.com/stories/par.co.id/3889303384696114446;https://storage-download.googleapis.com/networkimage/i/9601763952/story_thumbnail_18005860229873716_9601763952.jpg;
5/2/26, 11:08 AM;"PT Prima Armada Raya";"-";0.0;0.0;0.0;0.0;;0.0;1282.0;0.0;950.0;1282.0;0.0;6.0;0.0;5.0;1282.0;;1.0;;1.0;9601763952;18179471644383938_9601763952;https://www.instagram.com/stories/par.co.id/3887909367370587162;https://storage-download.googleapis.com/networkimage/i/9601763952/story_thumbnail_18179471644383938_9601763952.jpg;
5/1/26, 7:05 AM;"PT Prima Armada Raya";"-";0.0;0.0;0.0;0.0;;0.0;644.0;0.0;509.0;644.0;1.0;1.0;0.0;1.0;644.0;;1.0;;1.0;9601763952;18097195280040363_9601763952;https://www.instagram.com/stories/par.co.id/3887062241543533456;https://storage-download.googleapis.com/networkimage/i/9601763952/story_thumbnail_18097195280040363_9601763952.jpg;
5/1/26, 7:05 AM;"PT Prima Armada Raya";"-";0.0;0.0;0.0;0.0;;0.0;1576.0;0.0;1119.0;1576.0;0.0;8.0;0.0;8.0;1576.0;;1.0;;1.0;9601763952;18103566542487049_9601763952;https://www.instagram.com/stories/par.co.id/3887062112325422437;https://storage-download.googleapis.com/networkimage/i/9601763952/story_thumbnail_18103566542487049_9601763952.jpg;
-;"null";"Sum";0.0;0.0;0.0;0.0;0.0;0.0;22436.0;0.0;16940.0;22436.0;5.0;52.0;0.0;160.0;22436.0;0.0;23.0;2.0;25.0;null;SUMME;null;null;
