Profile;Social network;Follower;Number of posts;Engagement;Number of Likes;Number of comments;Impressions/views of posts;Summed up reach of posts;Follower Growth (in %);New Follower;Unfollows;Follower Growth (absolute);Number of Shares/Reposts/Quotes;Profile-ID;Link;Image Link;
"PT Prima Armada Raya";INSTAGRAM;11343.0;8.0;0.0033249119744047165;561.0;17.0;11742.0;5929.0;-9.688215606834595E-4;55.0;69.0;-11.0;8.0;9601763952;https://app.fanpagekarma.com/discovery/INSTAGRAM/9601763952;https://scontent-ord5-3.xx.fbcdn.net/v/t51.2885-15/267098054_1354226301714120_8446300292938622154_n.jpg?_nc_cat=107&ccb=1-7&_nc_sid=7d201b&_nc_eui2=AeHOEkENkhdUqegIcwB6OIOIEPqc_E4VUq4Q-pz8ThVSrrjDwW3mHVjBCIuOCGEHCOQbUxQq9vvi_-11KNRPMy3k&_nc_ohc=9AnPBi4srBwQ7kNvwHxV4Gl&_nc_oc=AdokMFXEHbAz3sL4XW0MJJIx6hHOKmixIh-T7-whOwkJfQah-CgRiB7UupZdw2bqfGg&_nc_zt=23&_nc_ht=scontent-ord5-3.xx&edm=AL-3X8kEAAAA&oh=00_AQDqmj8PQnwtHQpGkUWXBYhdbgwj2m9K2OUp5AjxuEGHUg&oe=6A5E03CB;
"par.co.id";TIKTOK;25827.0;3.0;1.2857663719218756E-4;49.0;1.0;1236.0;1066.0;0.003146119785597763;;;81.0;3.0;7320535411884147718;https://app.fanpagekarma.com/discovery/TIKTOK/7320535411884147718;https://storage-download.googleapis.com/networkimage/tt/7320535411884147718/avatar_7320535411884147718.jpg;
"Prima Armada Raya";FACEBOOK;2788.0;8.0;8.272736162938369E-4;29.0;3.0;806.0;623.0;-0.003929974991068239;8.0;21.0;-11.0;0.0;211065008758674;https://app.fanpagekarma.com/discovery/FACEBOOK/211065008758674;https://scontent-ord5-2.xx.fbcdn.net/v/t39.30808-1/420444029_10232138641877374_6029619758254727285_n.jpg?stp=cp0_dst-jpg_s50x50_tt6&_nc_cat=104&ccb=1-7&_nc_sid=f907e8&_nc_eui2=AeE6axAH3rWlnANhxy-SS8X77sv9hlxTOkXuy_2GXFM6RfOcFwAKoZ7SXOVTI1m8I9m22ASg-qX5jyBUxzJcWj4o&_nc_ohc=belzVPQUog4Q7kNvwHbyP17&_nc_oc=Adq3DVIo-NytlkAelFwU2OGqust75BOlHMlLMpvYn6sI6MQjEqLBwbC_c5XIMAvmVNE&_nc_zt=24&_nc_ht=scontent-ord5-2.xx&edm=AGaHXAAEAAAA&_nc_gid=jDJip1KB3OfVnfmdm7TyCA&_nc_tpa=Q5bMBQHcMEUSnPRsVYxzPiNYYPO98Dx6dvmMtY-5PDJBbm0c2aIbyvcEJGgLs-3PltJD-J9vKOktuM0J&oh=00_AQCs4A374V_KhlG7lVoKk1N9RFpApxRahhyEcEC5bJ7m3A&oe=6A5E03D8;
"Prima Armada Raya";YOUTUBE;92.0;3.0;;1.0;0.0;313.0;;0.022222222222222223;;;2.0;;UCYmE8xn_kRbu3rX9bzACmQQ;https://app.fanpagekarma.com/discovery/YOUTUBE/UCYmE8xn_kRbu3rX9bzACmQQ;https://yt3.ggpht.com/eMQ_aXoK9AkXMnRLOLIf5T52AyyS7dKNKcEsfhCx8-h5Rj-t4nZ8Ta20f8H2anpDXVRywOsmbQ=s240-c-k-c0x00ffffff-no-rj;
