Profile;Social network;Number of posts;Profile-ID;Link;Image Link;
"Mon";null;0.0;weekday-color-id-for-chart-graph-1;null;null;
"Tue";null;12.0;weekday-color-id-for-chart-graph-2;null;null;
"Wed";null;3.0;weekday-color-id-for-chart-graph-3;null;null;
"Thu";null;5.0;weekday-color-id-for-chart-graph-4;null;null;
"Fri";null;2.0;weekday-color-id-for-chart-graph-5;null;null;
"Sat";null;0.0;weekday-color-id-for-chart-graph-6;null;null;
"Sun";null;1.0;weekday-color-id-for-chart-graph-7;null;null;
