"Awal pelaporan","Akhir pelaporan","Nama iklan",Platform,Penempatan,"Platform Perangkat","Penayangan iklan",Hasil,"Indikator Hasil","Biaya per Hasil","Anggaran Set Iklan","Jenis Anggaran Set Iklan","Jumlah yang dibelanjakan (IDR)",Impresi,Jangkauan,Berakhir,"Pengaturan atribusi",Tawaran,"Jenis tawaran","Editan Signifikan Terakhir","Peringkat kualitas","Peringkat nilai interaksi","Peringkat nilai konversi","Nama set iklan",Reaction/Reach,"Interaksi postingan","Klik tautan","CTR (rasio klik tayang tautan)",Frekuensi,"Pengikut Instagram","Interaksi Halaman","Hasil (awal)","Indikator hasil (awal)"
2026-07-01,2026-07-31,"Dapet Kerjaan di Luar Jobdesk",Facebook,Kabar,"Di aplikasi",inactive,,,,30000,Harian,4825,864,864,Berlangsung,"Klik 7 hari atau tayangan 1 hari",60,ABSOLUTE_OCPM,2026-06-25T10:29:26+0700,-,-,-,"Micro Targeting A+",0,511,,,1,0,511,,
2026-07-01,2026-07-31,"Dapet Kerjaan di Luar Jobdesk",Facebook,"Reels in-stream","Di aplikasi",inactive,,,,30000,Harian,23615,1491,1370,Berlangsung,"Klik 7 hari atau tayangan 1 hari",60,ABSOLUTE_OCPM,2026-06-25T10:29:26+0700,-,-,-,"Micro Targeting A+",0,1075,,,1.088321,0,1075,,
2026-07-01,2026-07-31,"Dapet Kerjaan di Luar Jobdesk",Instagram,Kabar,Desktop,inactive,,,,30000,Harian,228,47,43,Berlangsung,"Klik 7 hari atau tayangan 1 hari",60,ABSOLUTE_OCPM,2026-06-25T10:29:26+0700,-,-,-,"Micro Targeting A+",0,25,,,1.093023,0,25,,
2026-07-01,2026-07-31,"Dapet Kerjaan di Luar Jobdesk",Instagram,Kabar,"Di aplikasi",inactive,6,actions:post_interaction_gross,2007.33333333,30000,Harian,12044,2134,2086,Berlangsung,"Klik 7 hari atau tayangan 1 hari",60,ABSOLUTE_OCPM,2026-06-25T10:29:26+0700,-,-,-,"Micro Targeting A+",0.00239693,1270,,,1.023011,0,1270,,
2026-07-01,2026-07-31,"Dapet Kerjaan di Luar Jobdesk",Instagram,Kabar,"Web Seluler",inactive,,,,30000,Harian,21,9,9,Berlangsung,"Klik 7 hari atau tayangan 1 hari",60,ABSOLUTE_OCPM,2026-06-25T10:29:26+0700,-,-,-,"Micro Targeting A+",0,4,,,1,0,4,,
2026-07-01,2026-07-31,"Dapet Kerjaan di Luar Jobdesk",Instagram,"Beranda Jelajahi","Di aplikasi",inactive,,,,30000,Harian,311,54,53,Berlangsung,"Klik 7 hari atau tayangan 1 hari",60,ABSOLUTE_OCPM,2026-06-25T10:29:26+0700,-,-,-,"Micro Targeting A+",0,31,,,1.018868,0,31,,
2026-07-01,2026-07-31,"Dapet Kerjaan di Luar Jobdesk",Instagram,"Reels Instagram",Desktop,inactive,,,,30000,Harian,939,209,207,Berlangsung,"Klik 7 hari atau tayangan 1 hari",60,ABSOLUTE_OCPM,2026-06-25T10:29:26+0700,-,-,-,"Micro Targeting A+",0,29,,,1.009662,0,29,,
2026-07-01,2026-07-31,"Dapet Kerjaan di Luar Jobdesk",Instagram,"Reels Instagram","Di aplikasi",inactive,130,actions:post_interaction_gross,1381.99230769,30000,Harian,179659,34100,33376,Berlangsung,"Klik 7 hari atau tayangan 1 hari",60,ABSOLUTE_OCPM,2026-06-25T10:29:26+0700,-,-,-,"Micro Targeting A+",0.00374521,17472,,,1.021692,0,17472,,
2026-07-01,2026-07-31,"Dapet Kerjaan di Luar Jobdesk",Instagram,"Reels Instagram","Web Seluler",inactive,,,,30000,Harian,69,22,22,Berlangsung,"Klik 7 hari atau tayangan 1 hari",60,ABSOLUTE_OCPM,2026-06-25T10:29:26+0700,-,-,-,"Micro Targeting A+",0,4,,,1,0,4,,
2026-07-01,2026-07-31,"Dapet Kerjaan di Luar Jobdesk",Instagram,"Hasil pencarian Instagram","Di aplikasi",inactive,,,,30000,Harian,4,2,2,Berlangsung,"Klik 7 hari atau tayangan 1 hari",60,ABSOLUTE_OCPM,2026-06-25T10:29:26+0700,-,-,-,"Micro Targeting A+",0,,,,1,0,,,
