"Awal pelaporan","Akhir pelaporan","Nama set iklan","Penayangan Set Iklan",Hasil,"Indikator Hasil","Biaya per Hasil","Anggaran Set Iklan","Jenis Anggaran Set Iklan","Jumlah yang dibelanjakan (IDR)",Impresi,Jangkauan,Berakhir,Mulai,"Pengaturan atribusi",Tawaran,"Jenis tawaran","Editan Signifikan Terakhir",Reaction/Reach,"Interaksi postingan","Klik tautan","CTR (rasio klik tayang tautan)",Frekuensi,"Pengikut Instagram","Interaksi Halaman","Hasil (awal)","Indikator hasil (awal)"
2026-07-01,2026-07-31,,0,,,,0,0,5425798,2404070,1513909,,,"Pengaturan Beberapa Atribusi",0,0,0,,,,,1.587988,0,,,
2026-07-01,2026-07-31,"Micro Targeting A+",not_delivering,350685,reach,1528.48282647,30000,Harian,536016,404226,350685,Berlangsung,2026-06-19,"Klik 7 hari atau tayangan 1 hari",0,ABSOLUTE_OCPM,2026-06-19T11:30:22+0700,0.00031082,141,8,0.001979,1.152675,0,141,,
2026-07-01,2026-07-31,"Micro Targeting A+",not_delivering,264,actions:post_interaction_gross,979.67045455,30000,Harian,258633,43664,41354,Berlangsung,2026-06-19,"Klik 7 hari atau tayangan 1 hari",60,ABSOLUTE_OCPM,2026-06-25T10:29:26+0700,0.00609373,23823,,,1.055859,0,23823,,
2026-07-01,2026-07-31,"Micro Targeting A+",not_delivering,848988,reach,2327.78201812,50000,Harian,1976259,1417065,848988,Berlangsung,2026-06-27,"Klik 7 hari atau tayangan 1 hari",0,ABSOLUTE_OCPM,2026-07-24T11:29:11+0700,0.00055596,13231,18,0.00127,1.669123,0,13231,,
2026-07-01,2026-07-31,"Broad A+",not_delivering,6994,profile_visit_view,325.04989991,"Menggunakan anggaran kampanye",0,2273399,517504,376472,Berlangsung,2026-06-27,"Klik 1 hari",0,ABSOLUTE_OCPM,2026-06-27T07:38:25+0700,0.00098547,7496,7050,1.362308,1.374615,16,7498,,
2026-07-01,2026-07-31,"Micro Targeting A+",not_delivering,1040,profile_visit_view,366.81826923,50000,Harian,381491,21611,17521,Berlangsung,2026-07-24,"Klik 1 hari",0,ABSOLUTE_OCPM,2026-07-24T11:35:26+0700,0.00873238,5613,1042,4.821619,1.233434,133,5613,,
