"Awal pelaporan","Akhir pelaporan","Nama iklan",Usia,"Jenis kelamin","Penayangan iklan",Hasil,"Indikator Hasil","Biaya per Hasil","Anggaran Set Iklan","Jenis Anggaran Set Iklan","Jumlah yang dibelanjakan (IDR)",Impresi,Jangkauan,Berakhir,"Pengaturan atribusi",Tawaran,"Jenis tawaran","Editan Signifikan Terakhir","Peringkat kualitas","Peringkat nilai interaksi","Peringkat nilai konversi","Nama set iklan",Reaction/Reach,"Interaksi postingan","Klik tautan","CTR (rasio klik tayang tautan)",Frekuensi,"Pengikut Instagram","Interaksi Halaman","Hasil (awal)","Indikator hasil (awal)"
2026-07-01,2026-07-31,"Momen Proper",45-54,female,not_delivering,5211,reach,1446.55536365,30000,Harian,7538,5293,5211,Berlangsung,"Klik 7 hari atau tayangan 1 hari",0,ABSOLUTE_OCPM,2026-06-19T11:30:22+0700,-,-,-,"Micro Targeting A+",0.00076761,6,,,1.015736,0,6,,
2026-07-01,2026-07-31,"Momen Proper",45-54,male,not_delivering,14556,reach,1481.93184941,30000,Harian,21571,15287,14556,Berlangsung,"Klik 7 hari atau tayangan 1 hari",0,ABSOLUTE_OCPM,2026-06-19T11:30:22+0700,-,-,-,"Micro Targeting A+",6.87E-5,2,,,1.05022,0,2,,
2026-07-01,2026-07-31,"Momen Proper",45-54,unknown,not_delivering,57,reach,1508.77192982,30000,Harian,86,59,57,Berlangsung,"Klik 7 hari atau tayangan 1 hari",0,ABSOLUTE_OCPM,2026-06-19T11:30:22+0700,-,-,-,"Micro Targeting A+",0,,,,1.035088,0,,,
2026-07-01,2026-07-31,"Momen Proper",55-64,female,not_delivering,2572,reach,1477.44945568,30000,Harian,3800,2676,2572,Berlangsung,"Klik 7 hari atau tayangan 1 hari",0,ABSOLUTE_OCPM,2026-06-19T11:30:22+0700,-,-,-,"Micro Targeting A+",0.00155521,4,,,1.040435,0,4,,
2026-07-01,2026-07-31,"Momen Proper",55-64,male,not_delivering,6602,reach,1443.35049985,30000,Harian,9529,6870,6602,Berlangsung,"Klik 7 hari atau tayangan 1 hari",0,ABSOLUTE_OCPM,2026-06-19T11:30:22+0700,-,-,-,"Micro Targeting A+",0.00030294,3,,,1.040594,0,3,,
2026-07-01,2026-07-31,"Momen Proper",55-64,unknown,not_delivering,23,reach,1347.82608696,30000,Harian,31,23,23,Berlangsung,"Klik 7 hari atau tayangan 1 hari",0,ABSOLUTE_OCPM,2026-06-19T11:30:22+0700,-,-,-,"Micro Targeting A+",0,,,,1,0,,,
2026-07-01,2026-07-31,"Momen Proper",65+,female,not_delivering,1646,reach,1443.49939247,30000,Harian,2376,1666,1646,Berlangsung,"Klik 7 hari atau tayangan 1 hari",0,ABSOLUTE_OCPM,2026-06-19T11:30:22+0700,-,-,-,"Micro Targeting A+",0.00060753,1,,,1.012151,0,1,,
2026-07-01,2026-07-31,"Momen Proper",65+,male,not_delivering,4211,reach,1500.11873664,30000,Harian,6317,4439,4211,Berlangsung,"Klik 7 hari atau tayangan 1 hari",0,ABSOLUTE_OCPM,2026-06-19T11:30:22+0700,-,-,-,"Micro Targeting A+",0.00023747,1,,,1.054144,0,1,,
2026-07-01,2026-07-31,"Momen Proper",65+,unknown,not_delivering,20,reach,1650,30000,Harian,33,21,20,Berlangsung,"Klik 7 hari atau tayangan 1 hari",0,ABSOLUTE_OCPM,2026-06-19T11:30:22+0700,-,-,-,"Micro Targeting A+",0,,,,1.05,0,,,
2026-07-01,2026-07-31,"Momen Proper",18-24,female,not_delivering,1,actions:post_interaction_gross,34,30000,Harian,34,1,1,Berlangsung,"Klik 7 hari atau tayangan 1 hari",60,ABSOLUTE_OCPM,2026-06-25T10:29:26+0700,-,-,-,"Micro Targeting A+",1,1,,,1,0,1,,
2026-07-01,2026-07-31,"Momen Proper",25-34,female,not_delivering,1,actions:post_interaction_gross,63,30000,Harian,63,3,3,Berlangsung,"Klik 7 hari atau tayangan 1 hari",60,ABSOLUTE_OCPM,2026-06-25T10:29:26+0700,-,-,-,"Micro Targeting A+",0.33333333,1,,,1,0,1,,
2026-07-01,2026-07-31,"Momen Proper",35-44,female,not_delivering,1,actions:post_interaction_gross,66,30000,Harian,66,1,1,Berlangsung,"Klik 7 hari atau tayangan 1 hari",60,ABSOLUTE_OCPM,2026-06-25T10:29:26+0700,-,-,-,"Micro Targeting A+",1,1,,,1,0,1,,
2026-07-01,2026-07-31,"Momen Proper",45-54,male,not_delivering,1,actions:post_interaction_gross,60,30000,Harian,60,1,1,Berlangsung,"Klik 7 hari atau tayangan 1 hari",60,ABSOLUTE_OCPM,2026-06-25T10:29:26+0700,-,-,-,"Micro Targeting A+",1,1,,,1,0,1,,
2026-07-01,2026-07-31,"Tim Kopi atau Teh",18-24,female,not_delivering,,,,30000,Harian,39,2,2,Berlangsung,"Klik 7 hari atau tayangan 1 hari",60,ABSOLUTE_OCPM,2026-06-25T10:29:26+0700,-,-,-,"Micro Targeting A+",0,,,,1,0,,,
2026-07-01,2026-07-31,"Tim Kopi atau Teh",18-24,male,not_delivering,1,actions:post_interaction_gross,35,30000,Harian,35,1,1,Berlangsung,"Klik 7 hari atau tayangan 1 hari",60,ABSOLUTE_OCPM,2026-06-25T10:29:26+0700,-,-,-,"Micro Targeting A+",1,1,,,1,0,1,,
